property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,godrej nature plus,sector-33 sohna,1.9,9849.0,3,3,3,14  ,new Property,1895.9498700623699,1600.0,1929.0,0,1,0,0,0,2
flat,godrej aria,sector 79,1.1,11482.0,2,2,3,9  ,new Property,89.0,1600.0,1254.0,0,0,0,0,0,2
flat,ramsons kshitij,sector 95,0.32,4500.0,2,2,1,8  ,relativelt new,700.0,1600.0,443.32,0,0,0,0,1,1
flat,conscient one,sector 109,1.7,17617.0,1,1,2,9  ,undefined,1895.9498700623699,965.0,628.0,0,0,0,0,0,2
flat,pareena laxmi apartments,sector 99a,0.32,6106.0,2,2,2,2  ,new Property,524.0,1600.0,424.8,0,0,0,0,0,2
flat,pyramid elite,sector 86,0.45,7739.0,2,2,1,4  ,under construction,1895.9498700623699,1600.0,581.41,0,0,0,0,0,2
flat,raheja revanta,sector 78,1.2,10018.0,1,2,2,32  ,under construction,1197.8,1600.0,505.0,0,0,0,0,0,2
flat,m3m skycity,sector 65,2.1,16030.0,2,2,2,43  ,new Property,1310.0,1600.0,1254.0,0,0,0,0,0,2
flat,not applicable,laxman vihar,0.42,5600.0,2,2,1,3  ,relativelt new,1895.9498700623699,1600.0,750.0,0,0,0,0,0,0
flat,godrej nature plus,sector-33 sohna,1.55,9955.0,3,2,3,8  ,new Property,1895.9498700623699,1600.0,1557.0,0,0,0,0,0,2
flat,ramprastha city,dwarka expressway,1.3,9027.0,3,3,2,3  ,under construction,1440.0,1600.0,1254.0,0,0,0,0,0,2
flat,smartworld 1dxp,sector 113,2.75,10589.0,4,4,3,20  ,under construction,1895.9498700623699,1600.0,2597.0,1,1,0,1,0,1
flat,ansal housing highland park,sector 103,1.25,6443.0,3,3,3,2  ,new Property,1940.0,1600.0,1056.0,0,0,0,1,0,2
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3,2,2,-1,undefined,1895.9498700623699,1600.0,567.0,0,0,0,0,0,2
flat,breez global heights,sohna,0.4,6420.0,2,2,1,4  ,new Property,623.0,1600.0,599.0,0,0,0,0,0,2
flat,trisara our homes 3,sohna,0.34,5405.0,2,2,1,0,new Property,1895.9498700623699,1600.0,629.0,0,0,0,0,0,2
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3  ,new Property,1423.0,1600.0,1254.0,1,0,0,0,1,2
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4  ,relativelt new,1450.0,1600.0,1177.0,0,0,0,0,0,0
flat,ramprastha city,dwarka expressway,1.3,9285.0,3,3,2,3  ,under construction,1400.0,1600.0,1254.0,0,0,0,0,0,2
flat,pareena coban residences,sector 99a,1.6,8000.0,3,3,3,6  ,under construction,2000.0,1600.0,1254.0,0,0,0,0,0,2
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13  ,new Property,1895.9498700623699,1600.0,1276.0,0,0,0,0,0,2
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13  ,new Property,1276.0,1600.0,1254.0,0,0,0,0,0,2
flat,godrej summit premia towers,sector 104,0.9,7149.0,2,2,No,16  ,undefined,1895.9498700623699,1259.0,1254.0,0,0,0,0,0,2
flat,ardee city,sector 52,1.5,9146.0,4,4,3,3  ,old property,1640.0,1600.0,1254.0,0,0,0,0,0,2
flat,m3m one key resiments,sector 67,0.8,13115.0,1,1,No,0,undefined,1895.9498700623699,610.0,1254.0,0,0,0,0,0,2
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11  ,new Property,1690.0,1600.0,1254.0,0,0,0,0,0,2
flat,mvn athens,sohna,0.26,5397.0,2,2,1,2  ,relativelt new,1895.9498700623699,1600.0,481.74,0,0,0,0,0,2
flat,signature the serenas,sohna,0.42,7909.0,2,2,1,12  ,new Property,1895.9498700623699,1600.0,531.0,0,0,0,0,0,2
